org.prevayler.PrevaylerFactory	<org.prevayler.demos.scalability.prevayler.PrevaylerQuerySubject: void <init>()>/org.prevayler.PrevaylerFactory.configurePrevalentSystem/0	<org.prevayler.PrevaylerFactory: void configurePrevalentSystem(java.lang.Object)>
org.prevayler.PrevaylerFactory	<org.prevayler.demos.scalability.prevayler.PrevaylerQuerySubject: void <init>()>/org.prevayler.PrevaylerFactory.configurePrevalenceDirectory/0	<org.prevayler.PrevaylerFactory: void configurePrevalenceDirectory(java.lang.String)>
org.prevayler.PrevaylerFactory	<org.prevayler.demos.scalability.prevayler.PrevaylerQuerySubject: void <init>()>/org.prevayler.PrevaylerFactory.configureTransactionFiltering/0	<org.prevayler.PrevaylerFactory: void configureTransactionFiltering(boolean)>
org.prevayler.PrevaylerFactory	<org.prevayler.demos.scalability.prevayler.PrevaylerQuerySubject: void <init>()>/org.prevayler.PrevaylerFactory.create/0	<org.prevayler.PrevaylerFactory: org.prevayler.Prevayler create()>
org.prevayler.implementation.PrevaylerImpl	<org.prevayler.demos.scalability.prevayler.PrevaylerQuerySubject: java.lang.Object createTestConnection()>/org.prevayler.Prevayler.prevalentSystem/0	<org.prevayler.implementation.PrevaylerImpl: java.lang.Object prevalentSystem()>	@ Snapshot
javax.swing.JList	<org.prevayler.demos.demo2.gui.AllAccountsFrame$SelectedAccountAction: void <init>(org.prevayler.demos.demo2.gui.AllAccountsFrame,java.lang.String)>/javax.swing.JList.addListSelectionListener/0	<javax.swing.JList: void addListSelectionListener(javax.swing.event.ListSelectionListener)>
org.prevayler.demos.demo2.gui.AllAccountsFrame$SelectedAccountAction	<org.prevayler.demos.demo2.gui.AllAccountsFrame$SelectedAccountAction: void refreshEnabled()>/org.prevayler.demos.demo2.gui.AllAccountsFrame$SelectedAccountAction.setEnabled/0	<javax.swing.AbstractAction: void setEnabled(boolean)>
org.prevayler.demos.demo2.gui.AllAccountsFrame$AccountEditAction	<org.prevayler.demos.demo2.gui.AllAccountsFrame$SelectedAccountAction: void refreshEnabled()>/org.prevayler.demos.demo2.gui.AllAccountsFrame$SelectedAccountAction.setEnabled/0	<javax.swing.AbstractAction: void setEnabled(boolean)>
org.prevayler.demos.demo2.gui.AllAccountsFrame$AccountDeleteAction	<org.prevayler.demos.demo2.gui.AllAccountsFrame$SelectedAccountAction: void refreshEnabled()>/org.prevayler.demos.demo2.gui.AllAccountsFrame$SelectedAccountAction.setEnabled/0	<javax.swing.AbstractAction: void setEnabled(boolean)>
org.prevayler.demos.demo2.business.Account	<org.prevayler.demos.demo2.gui.TransferFrame: void <init>(org.prevayler.demos.demo2.business.Account,org.prevayler.Prevayler,java.awt.Container)>/org.prevayler.demos.demo2.business.Account.numberString/0	<org.prevayler.demos.demo2.business.Account: java.lang.String numberString()>
javax.swing.JTextField	<org.prevayler.demos.demo2.gui.TransferFrame: void <init>(org.prevayler.demos.demo2.business.Account,org.prevayler.Prevayler,java.awt.Container)>/javax.swing.JTextField.setText/0	<javax.swing.JTextField: void setText(java.lang.String)>
