java.lang.String[]::: (Mock)	<Main: void main(java.lang.String[])>/@parameter0	@ (Prog /\ Prog)
java.lang.String[]::: (Mock)	<Main: void main(java.lang.String[])>/args#_0	@ (Prog /\ Prog)
<<string-constant>>	<Main: void main(java.lang.String[])>/$stringconstant0	@ (Prog /\ Prog)
<<string-constant>>	<Main: void main(java.lang.String[])>/$stringconstant1	@ (Prog /\ Prog)
<<string-builder>>	<Main: void main(java.lang.String[])>/$r7	@ (Prog /\ Prog)
<<string-builder>>	<Main: void main(java.lang.String[])>/$r18	@ (Prog /\ Prog)
<Main: void main(java.lang.String[])>/new int[]/0	<Main: void main(java.lang.String[])>/$r3	@ (Prog /\ Prog)
<Main: void main(java.lang.String[])>/new int[]/1	<Main: void main(java.lang.String[])>/$r4	@ (Prog /\ Prog)
<<string-constant>>	<Graph: void endProfile()>/$stringconstant0	@ (Benchmark /\ Benchmark)
<<string-builder>>	<Graph: void endProfile()>/$r0	@ (Benchmark /\ Benchmark)
<Main: void main(java.lang.String[])>/new Graph/0	<Main: void main(java.lang.String[])>/$r0	@ (Prog /\ Prog)
<Main: void main(java.lang.String[])>/new Vertex[]/0	<Main: void main(java.lang.String[])>/$r2	@ (Prog /\ Prog)
<Main: void main(java.lang.String[])>/new Vertex/0	<Main: void main(java.lang.String[])>/$r5	@ (Prog /\ Prog)
Vertex::: (Mock)	<Vertex: Vertex assignName(java.lang.String)>/@this
Vertex::: (Mock)	<Vertex: java.lang.String getName()>/@this
Vertex::: (Mock)	<Vertex: void addAdjacent(Vertex)>/@this	@ G_NoEdges
Vertex::: (Mock)	<Vertex: void adjustAdorns(Vertex,int)>/@this	@ G_NoEdges
Vertex::: (Mock)	<Vertex: VertexIter getNeighbors()>/@this	@ G_NoEdges
Vertex::: (Mock)	<Vertex: Vertex getStart()>/@this	@ (Undirected /\ G_NoEdges)
Vertex::: (Mock)	<Vertex: Vertex getEnd()>/@this	@ G_NoEdges
Vertex::: (Mock)	<Vertex: int getWeight()>/@this	@ G_NoEdges
Vertex::: (Mock)	<Vertex: Vertex getOtherVertex(Vertex)>/@this	@ G_NoEdges
Vertex::: (Mock)	<Vertex: void adjustAdorns(EdgeIfc)>/@this	@ G_NoEdges
Vertex::: (Mock)	<Vertex: void addEdge(Neighbor)>/@this	@ GN_OnlyNeighbors
Vertex::: (Mock)	<Vertex: void adjustAdorns(Neighbor)>/@this	@ GN_OnlyNeighbors
Vertex::: (Mock)	<Vertex: void addNeighbor(Neighbor)>/@this	@ GEN_Edges
Vertex::: (Mock)	<Vertex: EdgeIter getEdges()>/@this	@ ((EdgeObjects /\ G_NoEdges) /\ (EdgeObjects /\ G_NoEdges))
Vertex::: (Mock)	<Vertex: java.util.LinkedList getNeighborsObj()>/@this	@ GN_OnlyNeighbors
Vertex::: (Mock)	<Vertex: void addWeight(int)>/@this	@ Weighted
Vertex::: (Mock)	<Vertex: void setWeight(int)>/@this	@ (Weighted /\ G_NoEdges)
Vertex::: (Mock)	<Vertex: void init_vertex(WorkSpace)>/@this	@ SearchBase
Vertex::: (Mock)	<Vertex: void nodeSearch(WorkSpace)>/@this
Vertex::: (Mock)	<Vertex: void display()>/@this
Vertex$VertexIter2::: (Mock)	<Vertex$VertexIter2: Vertex next()>/@this	@ GN_OnlyNeighbors
Vertex$VertexIter2::: (Mock)	<Vertex$VertexIter2: boolean hasNext()>/@this	@ GN_OnlyNeighbors
Neighbor::: (Mock)	<Neighbor: void <init>()>/@this
Neighbor::: (Mock)	<Neighbor: void <init>(Vertex,int)>/@this
Neighbor::: (Mock)	<Neighbor: void display()>/@this	@ GN_OnlyNeighbors
Neighbor::: (Mock)	<Neighbor: Vertex getStart()>/@this	@ GN_OnlyNeighbors
Neighbor::: (Mock)	<Neighbor: Vertex getEnd()>/@this	@ GN_OnlyNeighbors
Neighbor::: (Mock)	<Neighbor: void setWeight(int)>/@this	@ (Weighted /\ GN_OnlyNeighbors)
Neighbor::: (Mock)	<Neighbor: int getWeight()>/@this	@ (Weighted /\ GN_OnlyNeighbors)
Neighbor::: (Mock)	<Neighbor: Vertex getOtherVertex(Vertex)>/@this	@ GN_OnlyNeighbors
Neighbor::: (Mock)	<Neighbor: void adjustAdorns(EdgeIfc)>/@this	@ GN_OnlyNeighbors
Neighbor::: (Mock)	<Neighbor: void <init>(Vertex,Edge)>/@this
NumberWorkSpace::: (Mock)	<NumberWorkSpace: void <init>()>/@this
NumberWorkSpace::: (Mock)	<NumberWorkSpace: void preVisitAction(Vertex)>/@this
Vertex$VertexIter1::: (Mock)	<Vertex$VertexIter1: Vertex next()>/@this	@ G_NoEdges
Vertex$VertexIter1::: (Mock)	<Vertex$VertexIter1: boolean hasNext()>/@this	@ G_NoEdges
Vertex$EdgeIter2::: (Mock)	<Vertex$EdgeIter2: EdgeIfc next()>/@this	@ (EdgeObjects /\ GN_OnlyNeighbors)
Vertex$EdgeIter2::: (Mock)	<Vertex$EdgeIter2: boolean hasNext()>/@this	@ (EdgeObjects /\ GN_OnlyNeighbors)
Graph$Comparator3::: (Mock)	<Graph$Comparator3: int compare(EdgeIfc,EdgeIfc)>/@this	@ MSTKruskal
Graph$Comparator3::: (Mock)	<Graph$Comparator3: int compare(java.lang.Object,java.lang.Object)>/@this
Main::: (Mock)	<Main: void <init>()>/@this
Edge::: (Mock)	<Edge: void <init>(Vertex,Vertex,int)>/@this
Edge::: (Mock)	<Edge: void adjustAdorns(EdgeIfc)>/@this	@ (EdgeObjects /\ EdgeObjects)
Edge::: (Mock)	<Edge: void setWeight(int)>/@this	@ (EdgeObjects /\ (EdgeObjects /\ Weighted))
Edge::: (Mock)	<Edge: int getWeight()>/@this	@ (EdgeObjects /\ (EdgeObjects /\ Weighted))
Edge::: (Mock)	<Edge: Vertex getOtherVertex(Vertex)>/@this	@ (EdgeObjects /\ EdgeObjects)
Edge::: (Mock)	<Edge: Vertex getStart()>/@this	@ (EdgeObjects /\ EdgeObjects)
Edge::: (Mock)	<Edge: Vertex getEnd()>/@this	@ (EdgeObjects /\ EdgeObjects)
Edge::: (Mock)	<Edge: void display()>/@this	@ (EdgeObjects /\ EdgeObjects)
RegionWorkSpace::: (Mock)	<RegionWorkSpace: void <init>()>/@this
RegionWorkSpace::: (Mock)	<RegionWorkSpace: void init_vertex(Vertex)>/@this	@ Connected
RegionWorkSpace::: (Mock)	<RegionWorkSpace: void postVisitAction(Vertex)>/@this	@ Connected
RegionWorkSpace::: (Mock)	<RegionWorkSpace: void nextRegionAction(Vertex)>/@this	@ Connected
VertexIter::: (Mock)	<VertexIter: Vertex next()>/@this
VertexIter::: (Mock)	<VertexIter: boolean hasNext()>/@this
CycleWorkSpace::: (Mock)	<CycleWorkSpace: void <init>()>/@this
CycleWorkSpace::: (Mock)	<CycleWorkSpace: void init_vertex(Vertex)>/@this	@ Cycle
CycleWorkSpace::: (Mock)	<CycleWorkSpace: void preVisitAction(Vertex)>/@this
CycleWorkSpace::: (Mock)	<CycleWorkSpace: void postVisitAction(Vertex)>/@this	@ Cycle
CycleWorkSpace::: (Mock)	<CycleWorkSpace: void checkNeighborAction(Vertex,Vertex)>/@this
Graph$Comparator2::: (Mock)	<Graph$Comparator2: int compare(Vertex,Vertex)>/@this	@ MSTPrim
Graph$Comparator2::: (Mock)	<Graph$Comparator2: int compare(java.lang.Object,java.lang.Object)>/@this
EdgeIter::: (Mock)	<EdgeIter: void <init>()>/@this
EdgeIter::: (Mock)	<EdgeIter: boolean hasNext()>/@this
EdgeIter::: (Mock)	<EdgeIter: EdgeIfc next()>/@this
WorkSpace::: (Mock)	<WorkSpace: void <init>()>/@this
WorkSpace::: (Mock)	<WorkSpace: void init_vertex(Vertex)>/@this	@ SearchBase
WorkSpace::: (Mock)	<WorkSpace: void preVisitAction(Vertex)>/@this	@ SearchBase
WorkSpace::: (Mock)	<WorkSpace: void postVisitAction(Vertex)>/@this	@ SearchBase
WorkSpace::: (Mock)	<WorkSpace: void nextRegionAction(Vertex)>/@this	@ SearchBase
WorkSpace::: (Mock)	<WorkSpace: void checkNeighborAction(Vertex,Vertex)>/@this	@ SearchBase
Vertex$EdgeIter1::: (Mock)	<Vertex$EdgeIter1: EdgeIfc next()>/@this	@ ((EdgeObjects /\ G_NoEdges) /\ (EdgeObjects /\ G_NoEdges))
