<<unique-hcontext>>	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: lancs.mobilemedia.core.ui.controller.ScreenSingleton getInstance()>/new lancs.mobilemedia.core.ui.controller.ScreenSingleton/0	<<unique-context>>	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: lancs.mobilemedia.core.ui.controller.ScreenSingleton getInstance()>/$r2
<<unique-hcontext>>	lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.controller.PhotoViewController: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,lancs.mobilemedia.core.ui.screens.AlbumListScreen,java.lang.String)>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.controller.PhotoViewController: boolean handleCommand(javax.microedition.lcdui.Command)>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.controller.PhotoViewController: lancs.mobilemedia.core.ui.screens.CaptureVideoScreen getCpVideoScreen()>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.controller.PhotoViewController: void setCpVideoScreen(lancs.mobilemedia.core.ui.screens.CaptureVideoScreen)>/@this
<<unique-hcontext>>	lancs.mobilemedia.sms.SmsReceiverThread::: (Mock)	<<unique-context>>	<lancs.mobilemedia.sms.SmsReceiverThread: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,lancs.mobilemedia.core.ui.screens.AlbumListScreen,lancs.mobilemedia.sms.SmsReceiverController)>/@this
<<unique-hcontext>>	lancs.mobilemedia.sms.SmsReceiverThread::: (Mock)	<<unique-context>>	<lancs.mobilemedia.sms.SmsReceiverThread: void run()>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: void <init>(javax.microedition.lcdui.Image)>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: void setImage(byte[])>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: byte[] getImage()>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: boolean isFromSMS()>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: void setFromSMS(boolean)>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void <init>()>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.datamodel.AlbumData: java.lang.String[] getAlbumNames()>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.datamodel.AlbumData: lancs.mobilemedia.core.ui.datamodel.MediaData[] getMedias(java.lang.String)>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void createNewAlbum(java.lang.String)>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addPassword(java.lang.String,java.lang.String)>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.datamodel.AlbumData: java.lang.String getPassword(java.lang.String)>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void deleteAlbum(java.lang.String)>/@this
<<unique-hcontext>>	lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<<unique-context>>	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addNewMediaToAlbum(java.lang.String,java.lang.String,java.lang.String)>/@this
